selected,authors,title,url,conf,code,slides,comments,tags
TRUE,"Andrea Lottarini, Stephen A. Edwards, Kenneth A. Ross, Martha A. Kim",Network Synthesis for Database Processing Units,https://dl.acm.org/citation.cfm?doid=3061639.3062289,DAC 2017,,,,
TRUE,"Bingyi Cao, Kenneth A. Ross, Stephen A. Edwards, Martha A. Kim","Deadlock-free joins in DB-mesh, an asynchronous systolic array accelerator",https://dl.acm.org/citation.cfm?doid=3076113.3076118,DAMON 2017,,,,
TRUE,"Eugene Wu, Fotis Psallidas, Zhengjie Miao, Haoci Zhang,Laura Rettig, Yifan Wu, Thibault Sellam",Combining Design and Performance in a Data Visualization Management System,https://www.dropbox.com/s/0rdjsv7m7wbhmlk/cidr17-camera.pdf?dl=0,CIDR 2017,,,,
TRUE,"Yifan Wu, Joe Hellerstein, Eugene Wu",A DeVIL-ish Approach to Inconsistency in Interactive Visualizations,http://sirrice.github.io/files/papers/devil-hilda16.pdf,Hilda 2016,,,,
TRUE,"Daniel Alabi, Eugene Wu",PFunk-H: Approximate Query Processing using Perceptual Models,http://sirrice.github.io/files/papers/pfunk-hilda16.pdf,Hilda 2016,,,,
TRUE,"Sanjay Krishnan, Daniel Haas, Michael J. Franklin, Eugene Wu",Towards Reliable Interactive Data Cleaning: A User Survey and Recommendations,http://sirrice.github.io/files/papers/cleaning-hilda16.pdf,Hilda 2016,,,,
TRUE,"Sanjay Krishnan, Michael Franklin, Ken Goldberg, Jiannan Wang, Eugene Wu",ActiveClean: An Interactive Data Cleaning Framework For Modern Machine Learning,http://eugenewu.net/files/papers/activeclean-sigmod16demo.pdf,SIGMOD 2016 Demo,,,,
TRUE,"E. A. Sitaridi, O. Polychroniou, K. A. Ross",SIMD-accelerated regular expression matching,http://doi.acm.org/10.1145/2933349.2933357,DAMON 2016,,,,
TRUE,J. Paparrizos and L. Gravano,k-Shape: Efficient and Accurate Clustering of Time Series,https://sigmodrecord.org/2016/04/23/efficient-and-accurate-clustering-of-time-series/,SIGMOD Record 2016,,,,
TRUE,"J. Paparrizos, R. W. White, and E. Horvitz",Detecting Devastating Diseases in Search Logs,http://www.kdd.org/kdd2016/papers/files/adp0533-paparrizosA.pdf,SIGKDD 2016,,,,
TRUE,"J. Paparrizos, R. W. White, and E. Horvitz",Screening for Pancreatic Adenocarcinoma Using Signals From Web Search Logs: Feasibility Study and Results,http://jop.ascopubs.org/content/early/2016/06/02/JOP.2015.010504.abstract,Journal of Oncology Practice,,,,
TRUE,"D. Haas, J. Wang, E. Wu, and M J. Franklin",CLAMShell: Speeding up Crowds for Low-latency Data Labeling,http://arxiv.org/pdf/1509.05969.pdf,VLDB 2016,,,,
TRUE,"Evangelia A. Sitaridi, RenŽ MŸller, Tim Kaldewey, Guy M. Lohman, Kenneth A. Ross",Massively-Parallel Lossless Data Decompression,http://ieeexplore.ieee.org/document/7573824/,ICPP 2016,,,,
TRUE,"S. Sheth, C. Murphy, K. A. Ross, D. E. Shasha",A Course on Programming and Problem Solving,http://doi.acm.org/10.1145/2839509.2844594,SIGCSE 2016,,,,
TRUE,E. Sitaridi and K. A. Ross,GPU-accelerated string matching for database applications,http://dx.doi.org/10.1007/s00778-015-0409-y,VLDB Journal 2016,,,,
TRUE,"M. Sadoghi, K. A. Ross, M. Canim, B. Bhattacharjee",Exploiting SSDs in operational multiversion databases,http://dx.doi.org/10.1007/s00778-015-0410-5,VLDB Journal 2016,,,,
TRUE,E. Wu and A. Nandi,Towards Perception-aware Interactive Data Visualization Systems,http://perceptvis.github.io/wu_nandi_dsia15.pdf,DSIA 2015,,,,
TRUE,"S. Krishnan, J. Wang, M. J. Franklin, K. Goldberg, T. Kraska, T. Milo, and E. Wu",SampleClean: Fast and Reliable Analytics on Dirty Data,http://sirrice.github.io/files/papers/sampleclean-overview.pdf,Overview paper,,,,
TRUE,"L. Wu, A. Lottarini, T. K. Paine, M. A. Kim, K. A. Ross",The Q100 Database Processing Unit,http://dx.doi.org/10.1109/MM.2015.51,IEEE MICRO,,,,
TRUE,O. Polychroniou and K. A. Ross,Efficient Lightweight Compression Alongside Fast Scans,http://dl.acm.org/citation.cfm?doid=2771937.2771943,DAMON 2015,,,,
TRUE,"B. Cao, K. A. Ross, M. A. Kim, and S. A. Edwards",Implementing Latency-Insensitive Dataflow Blocks,http://arcade.cs.columbia.edu/lid-memocode15.pdf,MEMOCODE 2015,,,,
TRUE,"D. Haas, S. Krishnan, J. Wang, M. J. Franklin, and E. Wu",Wisteria: Nurturing Scalable Data Cleaning Infrastructure (Demo),http://sirrice.github.io/files/paper/wisteria.pdf,VLDB 2015,,,,
TRUE,"A. Bhardwaj, A. Deshpande, A. Elmore, D. Karger, S. Madden, A. Parameswaran, H. Subramanyam, E. Wu, and R. Zhang",Collaborative Data Analytics with Datahub (Demo),http://sirrice.github.io/files/papers/datahubdemo.pdf,VLDB 2015,,,,
TRUE,"P. Barrio, L. Gravano, and C. Develder",Ranking Deep Web Text Collections for Scalable Information Extraction,#,CIKM 2015,,,,
TRUE,J. Paparrizos and L. Gravano,k-Shape: Efficient and Accurate Clustering of Time Series,#,SIGMOD 2015,,,,
TRUE,"P. Barrio, G. Sim›es, H. Galhardas, and L. Gravano",Learning to Rank Adaptively for Scalable Information Extraction,#,EDBT 2015,,,,
TRUE,"O. Polychroniou, A. Raghavan, K. A. Ross",Rethinking SIMD Vectorization for In-Memory Databases,http://dl.acm.org/citation.cfm?id=2747645,SIGMOD 2015,,,,
TRUE,"E. Wu, L. Battle, and S. Madden",The Case for Data Visualization Management Systems,http://sirrice.github.io/files/papers/ermac-vldb14.pdf,VLDB 2014,,,,
TRUE,"L. Wu, R. J. Barker, M. A. Kim, K. A. Ross:",Hardware Partitioning for Big Data Analytics,http://dx.doi.org/10.1109/MM.2014.11,IEEE MICRO,,,,
TRUE,"M. Sadoghi, M. Canim, B. Bhattacharjee, F. Nagel, K. A. Ross",Reducing Database Locking Contention Through Multi-version Concurrency,http://www.vldb.org/pvldb/vol7/p1331-sadoghi.pdf,PVLDB 2014,,,,
TRUE,"L. Wu, O. Polychroniou, R. J. Barker, M. A. Kim, and K. A. Ross",Energy Analysis of Hardware and Software Range Partitioning,http://dl.acm.org/citation.cfm?id=2638550,TOCS 2014,,,,
TRUE,K. A. Ross,Coherent Somatic Mutation in Autoimmune Disease,http://www.plosone.org/article/info%3Adoi%2F10.1371%2Fjournal.pone.0101093,PLoS One 2014,,,,
TRUE,O. Polychroniou and K. A. Ross,Vectorized Bloom Filters for Advanced SIMD Processors,http://dl.acm.org/citation.cfm?id=2619228.2619234,DAMON 2014,,,,
TRUE,"L. Wu, A. Lottarini, T. K. Paine, M. A. Kim, and K. A. Ross",Q100: The Architecture and Design of a Database Processing Unit,http://dl.acm.org/citation.cfm?doid=2541940.2541961,ASPLOS 2014,,,,
TRUE,O. Polychroniou and K. A. Ross,A Comprehensive Study of Main-memory Partitioning and its Application to Large-scale Comparison- and Radix-sort,http://dl.acm.org/citation.cfm?doid=2588555.2610522,SIGMOD 2014,,,,
TRUE,"O. Polychroniou, R. Sen, and K. A. Ross",Track Join: Distributed Joins with Minimal Network Traffic,http://dl.acm.org/citation.cfm?doid=2588555.2610521,SIGMOD 2014,,,,
TRUE,"F. Psallidas, L. Gravano, and many others",Detecting Foodborne Disease Outbreaks Using Social Media (demonstration),,"NYC Media Lab's Annual Summit, 2014",,,,
TRUE,"N. Elhadad, L. Gravano, D. Hsu, S. Balter, V. Reddy, and H. Waechter",Information Extraction from Social Media for Public Health,,"KDD at Bloomberg Workshop, Data Frameworks Track (KDD 2014), 2014",,,,
TRUE,"P. Barrio, G. Sim›es, H. Galhardas, and L. Gravano",REEL: A Relation Extraction Learning Framework (poster),,JCDL 2014,,,,
TRUE,"C. Harrison, M. Jorder, H. Stern, F. Stavinsky, V. Reddy, H. Hanson, H. Waechter, L. Lowe, L. Gravano, and S. Balter","Using Online Reviews by Restaurant Patrons to Identify Unreported Cases of Foodborne Illness Ñ New York City, 2012Ð2013",,Centers for Disease Control and Prevention Morbidity and Mortality Weekly Report 2014,,,,
,"E. Wu, A. Marcus, and S. Madden",Data In Context: Aiding News Consumers while Taming Dataspaces,http://sirrice.github.io/files/papers/dataincontext.pdf,DBCrowd 2013,,,,
,"A. Cheung, L. Ravindranath, E. Wu, S. Madden, and H. Balakrishnan",Mobile applications need Targeted Micro-updates,http://sirrice.github.io/files/papers/apsys13.pdf,APSYS 2013,,,,
,E. Wu and S. Madden,Scorpion: Explaining Away Outliers in Aggregate Queries,http://sirrice.github.io/files/papers/scorpion-vldb13.pdf,VLDB 2013 (Selected as one of the best papers of the conference!),,,,
,"E. Wu, S. Madden, and M. Stonebraker",SubZero: a Fine-Grained Lineage System for Scientific Databases,http://sirrice.github.io/files/papers/subzero-icde13.pdf,ICDE 2013 (Selected as one of the best papers of the conference!),,,,
,"M. Sadoghi, K. A. Ross, M. Canim, and B. Bhattacharjee",Making Updates Disk-I/O Friendly Using SSDs,http://www.vldb.org/pvldb/vol6/p997-sadoghi.pdf,PVLDB 2013,,,,
,"L. Wu, R. J. Barker, M. A. Kim, and K. A. Ross","Navigating Big Data with High-Throughput, Energy-Efficient Data Partitioning",http://arcade.cs.columbia.edu/harp-isca13.pdf,"ISCA 2013 (A version of this article appears in IEEE Micro 2014 as one of the ""Top Picks""
from 2013.)",,,,
,E. Sitaridi and K. A. Ross,Optimizing Select Conditions on GPUs,http://dl.acm.org/citation.cfm?doid=2485278.2485282,DAMON 2013,,,,
,O. Polychroniou and K. A. Ross,High Throughput Heavy Hitter Aggregation for Modern SIMD Processors,http://dl.acm.org/citation.cfm?doid=2485278.2485284,DAMON 2013,,,,
,"G. Sim›es, H. Galhardas, and L. Gravano",When Speed Has a Price: Fast Information Extraction Using Approximate Algorithms,#,VLDB 2013,,,,
,"F. Psallidas, H. Becker, M. Naaman, and L. Gravano",Effective Event Identification in Social Media,,IEEE Data Eng. Bull. 2013,,,,
,"C. Harrison, M. Joarder, H. Stern, F. Stavinsky, V. Reddy, L. Gravano, and S. Balter",Using Restaurant Review Websites to Identify Unreported Complaints of Foodborne Illness,,"CSTE Annual Conference, Poster 2013",,,,
,"E. Wu, S. Madden, and M. Stonebraker",A Demonstration of DBWipes: Clean as You Query,http://sirrice.github.io/files/papers/dbwipes-vldb2012.pdf,VLDB 2012,,,,
,"A. Marcus, E. Wu, D. Karger, S. Madden, and Robert Miller",Human-powered Sorts and Joins,http://sirrice.github.io/files/papers/qurk-vldb2012.pdf,VLDB 2012,,,,
,"M. Athanassoulis, B. Bhattacharjee, M. Canim, and K. A. Ross",Path Processing Using Solid State Storage,#,ADMS 2012,,,,
,E. Sitaridi and K. A. Ross,Ameliorating Memory Contention of OLAP Operators on GPU Processors,http://dl.acm.org/citation.cfm?doid=2236584.2236590,DAMON 2012 (Best Paper Award winner.),,,,
,"W. Dakka, L. Gravano, and P. Ipeirotis",Answering General Time-Sensitive Queries,http://www1.cs.columbia.edu/~gravano/Papers/2012/tkde12.pdf,TKDE 2012,,,,
,"H. Becker, D. Iter, M. Naaman, and L. Gravano",Identifying Content for Planned Events Across Social Media Sites,#,WSDM 2012,,,,
,E. Wu and S. Madden,Partitioning Techniques for Fine-Grained Indexing,http://sirrice.github.io/files/papers/shinobi-icde11.pdf,ICDE 2011,,,,
,"A. Marcus, E. Wu, D. Karger, S. Madden, and R. Miller",Demonstration of Qurk: A Query Processor for Human Operators,http://sirrice.github.io/files/papers/qurk-sigmod2011.pdf,SIGMOD 2011,,,,
,"Eugene Wu, Carlo Curino, and Sam Madden",No Bits Left Behind,http://sirrice.github.io/files/papers/bits-cidr11.pdf,CIDR 2011,,,,
,"A. Marcus, E. Wu, S. Madden, and R. Miller",Crowdsourced Databases: Query Processing with People,http://sirrice.github.io/files/papers/qurk-cidr11.pdf,CIDR 2011,,,,
,"C. Curino, E. Jones, R. Popa, N. Malviya, E. Wu, S. Madden, H. Balakrishnan, and N. Zeldovich",Relational Cloud: A Database-as-a-Service for the Cloud,http://sirrice.github.io/files/papers/relcloud-cidr11.pdf,CIDR 2011,,,,
,"A. El-Helw, K. A. Ross, B. Bhattacharjee, C. A. Lang, and G. A. Mihaila",Column-Oriented Query Processing for Row Stores,http://dl.acm.org/citation.cfm?doid=2064676.2064689,International Workshop on Data Warehousing and OLAP 2011,,,,
,"D. Sidlauskas, K. A. Ross, C. S. Jensen, and S. Saltenis",Thread-Level Parallel Indexing of Update Intensive Moving-Object Workloads,http://www.springerlink.com/content/ju14p5x32553x1k4/,International Symposium on Advances in Spatial and Temporal Databases 2011,,,,
,"Y. Ye, K. A. Ross, and N. Vesdapunt",Scalable Aggregation on Multicore Processors,http://dl.acm.org/citation.cfm?doid=1995441.1995442,DAMON 2011,,,,
,"B. Bhattacharjee, K. A. Ross, C. A. Lang, G. A. Mihaila, and M. Banikazemi",Enhancing Recovery using an SSD Buffer Pool Extension,http://dl.acm.org/citation.cfm?doid=1995441.1995443,DAMON 2011,,,,
,"J. Stoyanovich, M. Lodha, W. Mee, and K. A. Ross",SkylineSearch: Semantic Ranking and Result Visualization for Pubmed,http://dl.acm.org/citation.cfm?doid=1989323.1989467,SIGMOD 2011 Demo,,,,
,K. A. Ross,"Evidence for somatic gene conversion and deletion in bipolar disorder, Crohn's disease, coronary artery disease, hypertension, rheumatoid arthritis, type-1 diabetes, and type-2 diabetes",http://www.biomedcentral.com/1741-7015/9/12,BMC Medicine 2011,,,,
,"M. Naaman, H. Becker, and L. Gravano",Hip and Trendy: Characterizing Emerging Trends on Twitter,http://www1.cs.columbia.edu/~gravano/Papers/2011/jasist11.pdf,JASIST 2011,,,,
,"H. Becker, M. Naaman, and L. Gravano",Beyond Trending Topics: Real-World Event Identification on Twitter,#,ICWSM 2011,,,,
,"H. Becker, M. Naaman, and L. Gravano",Selecting Quality Twitter Content for Events,#,ICWSM 2011,,,,
,"M. Solomon, L. Gravano, and C. Yu",Quality Impact of Value Matching and Scoring in Top-k Entity Attribute Extraction,,DBRank 2011,,,,
,"H. Becker, F. Chen, D. Iter, M. Naaman, and L. Gravano",Automatic Identification and Presentation of Twitter Content for Planned Events (demonstration),,ICWSM 2011,,,,
,"C. Curino, E. Jones, Y. Zhang, E. Wu, and S. Madden",Relational Cloud: The Case for a Database Service,http://sirrice.github.io/files/papers/caseforrelationalcloud.pdf,MIT CSAIL Technical Report,,,,
,"P. Cudre-Mauroux, E. Wu, and S. Madden",TrajStore: An Adaptive Storage System for Very Large Trajectory Data Sets,http://sirrice.github.io/files/papers/trajstore-icde10.pdf,ICDE 2010,,,,
,"B. Bhattacharjee, M. Canim, C. Lang, G. Mihaila, and K. A. Ross",Storage Class Memory Aware Data Management,http://sites.computer.org/debull/A10dec/bish.pdf,IEEE Data Eng. Bull. 2010,,,,
